Ano;Temos;Pedro;Escopo;Serie;Fonte curta;Orden.;Rendas;Exerc.;Faixas;Moeda;Unidade;Pag.;Ref.
1927;1;1;DF;R-LOC;Souza Reis 1930;RLIQ;"RLIQ; imp.; pess.";1928;20;reis;mil-rs;38/33;[1]
1928;1;1;DF;R-LOC;Souza Reis 1930;RLIQ;"RLIQ; imp.; pess.";1929;20;reis;mil-rs;38/33;[1]
1929;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1930;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1931;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1932;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1933;1;1;DF;R-LOC;AEB 1941-1945;RLIQ;"RLIQ; imp.; pess.";1934;12;Cr$;Cr$ mil;501-502/496-497;[2]
1934;1;1;DF;R-LOC;AEB 1941-1945;RLIQ;"RLIQ; imp.; pess.";1935;12;Cr$;Cr$ mil;501-502/496-497;[2]
1935;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1936;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1937;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1938;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1939;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1940;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1941;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1942;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1943;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;12;Cr$;Cr$ mil;506/489;[3]
1944;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;11;Cr$;Cr$ mil;506/489;[3]
1945;1;1;DF;R-LOC;AEB 1946;RLIQ;"RLIQ; imp.; pess.";-;11;Cr$;Cr$ mil;506/489;[3]
1946;1;1;BR;N-RLIQ;AEB 1949;RLIQ;"RLIQ; RB; imp.; pess.";1947;15;Cr$;Cr$ mil;603/570;[4]
1947;1;1;BR;N-RLIQ;AEB 1949;RLIQ;"RLIQ; RB; imp.; pess.";1948;15;Cr$;Cr$ mil;603/570;[4]
1948;1;1;BR;N-RLIQ;AEB 1950;RLIQ;"RLIQ; RB; imp.; pess.";1949;15;Cr$;Cr$ mil;512/496;[5]
1949;1;1;BR;N-RLIQ;AEB 1951;RLIQ;"RLIQ; RB; imp.; pess.";1950;15;Cr$;Cr$ mil;529/506;[6]
1950;1;1;BR;N-RLIQ;AEB 1952;RLIQ;"RLIQ; RB; imp.; pess.";1951;15;Cr$;Cr$ mil;530/515;[7]
1951;1;1;BR;N-RLIQ;AEB 1953;RLIQ;"RLIQ; RB; imp.; pess.";1952;14;Cr$;Cr$ mil;469/444;[8]
1952;1;1;BR;N-RLIQ;AEB 1954;RLIQ;"RLIQ; RB; imp.; pess.";1953;14;Cr$;Cr$ mil;517/482;[9]
1953;1;1;BR;N-RLIQ;AEB 1955;RLIQ;"RLIQ; RB; imp.; pess.";1954;14;Cr$;Cr$ mil;552/531;[10]
