calendar_year;project_has_data;pedro_table4_has_data;coverage_status;geographic_scope;recommended_series;ordering_concept;reported_incomes;tax_return_year;number_of_brackets;currency;aggregate_unit;bracket_limit_unit;primary_source;source_block;primary_source_url;primary_link_type;pdf_download_url;alternative_url;local_file;pdf_page;printed_page;table_or_panel;primary_sqlite_table;related_sqlite_tables;pedro_table4_source;pedro_table4_status;methodological_note;next_action
1927;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";1928;20;reis;mil-reis;mil-reis;Souza Reis, F. T. de. O imposto de renda em seis annos de adaptacao no Brasil, 1924-1929. Rio de Janeiro, 1930, p. 33, Quadro n. 12.;souza_reis_1930_distrito_federal_1927_1928;https://archive.org/details/impostrenda1924souz;Internet Archive;;;C:/Users/User/Desktop/Dados de Imposto de Renda/impostrenda1924souz.pdf;38;33;Quadro n. 12;irpf_historico_totais_consolidado;"irpf_souza_reis_1930_df_faixas; irpf_souza_reis_1930_df_totais";Souza Reis (1930);"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com Brasil. Exercicio 1928 corresponde ao ano-calendario 1927; exercicio 1929 corresponde ao ano-calendario 1928. A errata do livro corrige o Quadro 12, coluna 3, linha 17, de 8.659:361$000 para 8.659:361$200. Soma das pessoas por faixa fecha com o total publicado (49571). A soma da renda das faixas difere do total publicado em 2:990$900; foram preservados os valores por faixa e o total publicado em campos separados.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1928;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";1929;20;reis;mil-reis;mil-reis;Souza Reis, F. T. de. O imposto de renda em seis annos de adaptacao no Brasil, 1924-1929. Rio de Janeiro, 1930, p. 33, Quadro n. 12.;souza_reis_1930_distrito_federal_1927_1928;https://archive.org/details/impostrenda1924souz;Internet Archive;;;C:/Users/User/Desktop/Dados de Imposto de Renda/impostrenda1924souz.pdf;38;33;Quadro n. 12;irpf_historico_totais_consolidado;"irpf_souza_reis_1930_df_faixas; irpf_souza_reis_1930_df_totais";Souza Reis (1930);"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com Brasil. Exercicio 1928 corresponde ao ano-calendario 1927; exercicio 1929 corresponde ao ano-calendario 1928. A errata do livro corrige o Quadro 12, coluna 3, linha 17, de 8.659:361$000 para 8.659:361$200. A propria fonte observa que a estatistica de 1929 cobre apenas a renda de 1928 lancada/tributada ate 31 de dezembro; tratar como serie parcial ou preliminar. Soma das pessoas por faixa fecha com o total publicado (26099). A soma da renda das faixas difere do total publicado em 0:556$000; foram preservados os valores por faixa e o total publicado em campos separados.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1929;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1930;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1931;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1932;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1933;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";1934;12;Cr$;Cr$ 1.000;Cr$ 1.000;Brasil. Instituto Brasileiro de Geografia e Estatistica. Anuario Estatistico do Brasil 1941-1945. Rio de Janeiro: IBGE, 1946, p. 496-497, tabela beta.;aeb_1941_1945_distrito_federal_1933_1934;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1941_1945.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1941_1945.pdf;501-502;496-497;Tabela beta - Contribuintes no Distrito Federal e sua renda liquida por classes de renda - 1934/44;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais";AEB 1941-1945;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional. A tabela traz anos impressos 1934-1944; seguindo a regra dos Anuarios Estatisticos do Brasil usada no projeto, ano_calendario = ano_exercicio - 1.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1934;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";1935;12;Cr$;Cr$ 1.000;Cr$ 1.000;Brasil. Instituto Brasileiro de Geografia e Estatistica. Anuario Estatistico do Brasil 1941-1945. Rio de Janeiro: IBGE, 1946, p. 496-497, tabela beta.;aeb_1941_1945_distrito_federal_1933_1934;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1941_1945.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1941_1945.pdf;501-502;496-497;Tabela beta - Contribuintes no Distrito Federal e sua renda liquida por classes de renda - 1934/44;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional. A tabela traz anos impressos 1934-1944; seguindo a regra dos Anuarios Estatisticos do Brasil usada no projeto, ano_calendario = ano_exercicio - 1.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1935;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1936;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
